profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
CARBON DISULFIDE<5.609e-03,EmergencyRoomVisit,0.033068724853215783,neg_correlate,0.46307410421287415,0.037216292457970424,0.8889319159677779,39,58,93,True,[],[],[]
METHYL ISOBUTYL KETONE (HEXONE)<1.718e-01,EmergencyRoomVisit,0.1564669225447628,neg_correlate,0.32006643499456366,-0.12262548486198294,0.7627583548511103,37,35,116,True,[],[],[]
NICKEL COMPOUNDS<3.833e-03,EmergencyRoomVisit,0.45086420953591433,pos_correlate,-0.1460188262028367,-0.5255959013739914,0.23355824896831792,36,58,93,True,[],[],[]
LEAD COMPOUNDS<1.961e-03,EmergencyRoomVisit,0.5713190416932392,neg_correlate,0.11633429571481724,-0.2864338077249734,0.5191023991546079,35,50,101,True,[],[],[]
2-CHLOROACETOPHENONE>=2.742e-07,EmergencyRoomVisit,0.04883315721088633,neg_correlate,-0.3709429438303661,-0.7399876251056432,-0.0018982625550890142,35,7,144,True,[],[],[]
"1,4-DICHLOROBENZENE<1.347e-03",EmergencyRoomVisit,0.19435019853650815,neg_correlate,0.2890273027954606,-0.14746186979929404,0.7255164753902152,34,23,128,True,[],[],[]
DIMETHYL SULFATE>=7.007e-07		HYDRAZINE<2.658e-06,EmergencyRoomVisit,0.0029024517518695843,mixed_sign_profile,-0.7504916044820265,-1.2444450908662161,-0.2565381180978367,33,8,143,True,[0.9793900453695156],"Index(['DIMETHYL SULFATE>=_and_HYDRAZINE<'], dtype='object')",[]
METHYLHYDRAZINE>=2.431e-06		CADMIUM COMPOUNDS<3.233e-04,EmergencyRoomVisit,0.05753108609378972,mixed_sign_profile,-0.3506004512586327,-0.7124079044188238,0.011207001901558489,33,34,117,True,[0.9999999914171586],"Index(['METHYLHYDRAZINE>=_and_CADMIUM COMPOUNDS<'], dtype='object')",[]
PHOSPHORUS>=3.508e-04,EmergencyRoomVisit,0.8165015702475805,pos_correlate,0.047227408594954313,-0.35167475903292683,0.4461295762228355,32,24,127,True,[],[],[]
ACETAMIDE<2.134e-07,EmergencyRoomVisit,0.07299430632052623,neg_correlate,0.37946422423071635,-0.035366606245147536,0.7942950547065802,32,53,98,True,[],[],[]
MANGANESE COMPOUNDS>=5.520e-03,EmergencyRoomVisit,0.11436070516505918,neg_correlate,-0.3063834325704032,-0.6867136161356164,0.07394675099481002,31,15,136,True,[],[],[]
QUINOLINE<3.972e-07,EmergencyRoomVisit,0.1590565456219618,neg_correlate,0.33423279371296843,-0.13094273401701712,0.7994083214429539,30,21,130,True,[],[],[]
DIMETHYL PHTHALATE>=9.782e-05,EmergencyRoomVisit,0.12407762392442181,neg_correlate,-0.2819678373822004,-0.641323778522839,0.07738810375843824,28,25,126,True,[],[],[]
PHOSPHORUS<1.852e-04,EmergencyRoomVisit,0.015784896027575636,neg_correlate,0.5156615253461726,0.09696218337585033,0.9343608673164949,28,69,82,True,[],[],[]
ACRYLAMIDE<2.765e-09,EmergencyRoomVisit,0.10143702098389121,neg_correlate,0.3618998216232763,-0.07115416679726538,0.7949538100438179,28,42,109,True,[],[],[]
CUMENE<2.809e-03,EmergencyRoomVisit,0.8408082875147531,pos_correlate,-0.03995910833652501,-0.4298751384979087,0.3499569218248587,28,40,111,True,[],[],[]
FORMALDEHYDE<2.240e+00,EmergencyRoomVisit,0.6141680890712546,pos_correlate,-0.09908724297572902,-0.48431796784305,0.28614348189159194,26,55,96,True,[],[],[]
ACROLEIN<7.000e-02,EmergencyRoomVisit,0.5318974293995058,neg_correlate,0.12494739438469835,-0.2668101137176089,0.5167049024870056,26,42,109,True,[],[],[]
MERCURY COMPOUNDS>=2.163e-03,EmergencyRoomVisit,0.05603123450335617,neg_correlate,-0.3560689729723513,-0.7213008406705077,0.00916289472580506,26,25,126,True,[],[],[]
VINYL ACETATE>=1.492e-03,EmergencyRoomVisit,0.31335951053329736,pos_correlate,0.21562592132583142,-0.20355674008551206,0.6348085827371749,25,33,118,True,[],[],[]
BERYLLIUM COMPOUNDS>=3.091e-04		METHYL METHACRYLATE<1.436e-03,EmergencyRoomVisit,0.9170721029222335,mixed_sign_profile,0.021207444332364853,-0.37799359976089786,0.4204084884256276,24,13,138,True,[0.041276126174822],"Index(['BERYLLIUM COMPOUNDS>=_and_METHYL METHACRYLATE<'], dtype='object')",[]
BERYLLIUM COMPOUNDS<3.091e-04		ETHYLENE OXIDE<2.800e-04,EmergencyRoomVisit,0.042157923347296636,neg_correlate,0.47653978145374715,0.01688417912639162,0.9361953837811027,24,35,116,True,[0.7071245477876424],"Index(['BERYLLIUM COMPOUNDS<_and_ETHYLENE OXIDE<'], dtype='object')",[]
CRESOL_CRESYLIC ACID (MIXED ISOMERS)>=2.780e-02,EmergencyRoomVisit,0.3162239485724374,neg_correlate,-0.18759287749545947,-0.5544435706545079,0.17925781566358898,24,23,128,True,[],[],[]
